Year,Month,Day,Hour,Actual,Predict
18,1,7,3,1139.76,1139.0521
18,1,7,4,1126.44,1126.1707
18,1,7,5,1135.8,1136.0994
18,1,7,6,1086.12,1086.1644
18,1,7,7,1131.48,1131.4482
18,1,7,8,1147.68,1147.734
18,1,7,9,1226.52,1226.4417
18,1,7,10,1151.28,1151.0748
18,1,7,11,1181.52,1181.4141
18,1,7,12,1190.52,1190.239
18,1,7,13,1132.56,1131.3748
18,1,7,14,1131.48,1131.33
18,1,7,15,1111.68,1111.375
18,1,7,16,1155.6,1155.6022
18,1,7,17,1163.16,1162.4808
18,1,7,18,1214.28,1215.166
18,1,7,19,1168.2,1168.2085
18,1,7,20,1156.32,1156.0651
18,1,7,21,1215.72,1215.5343
18,1,7,22,1279.08,1278.8094
18,1,7,23,1253.88,1254.2823
18,1,8,0,1311.48,1311.6039
18,1,8,1,1242.36,1241.8113
18,1,8,2,1188.0,1188.1362
18,1,8,3,1064.52,1064.4431
18,1,8,4,1119.24,1118.6862
18,1,8,5,1035.0,1034.7631
18,1,8,6,1161.72,1161.9246
18,1,8,7,1328.76,1329.5632
18,1,8,8,1405.08,1405.0148
18,1,8,9,1532.52,1532.5883
18,1,8,10,1634.04,1633.8009
18,1,8,11,1731.96,1731.8107
18,1,8,12,1708.56,1708.4485
18,1,8,13,1707.12,1708.8
18,1,8,14,1617.12,1616.7498
18,1,8,15,1658.16,1657.9573
18,1,8,16,1571.04,1570.6589
18,1,8,17,1693.44,1693.1294
18,1,8,18,1589.04,1589.0233
18,1,8,19,1504.08,1504.1492
18,1,8,20,1455.84,1456.3276
18,1,8,21,1441.08,1440.9097
18,1,8,22,1396.08,1395.3223
18,1,8,23,1366.2,1365.2957
18,1,9,0,1377.72,1377.6735
18,1,9,1,1328.4,1329.2343
18,1,9,2,1282.68,1282.1487
18,1,9,3,1218.24,1217.9436
18,1,9,4,1114.2,1114.1337
18,1,9,5,1069.92,1070.6355
18,1,9,6,1187.64,1188.1211
18,1,9,7,1272.6,1272.7727
18,1,9,8,1452.96,1453.0143
18,1,9,9,1583.28,1581.486
18,1,9,10,1651.68,1651.7972
18,1,9,11,1742.4,1742.836
18,1,9,12,1715.04,1715.1749
18,1,9,13,1662.84,1662.384
18,1,9,14,1666.44,1668.317
18,1,9,15,1670.04,1670.5118
18,1,9,16,1598.76,1597.3733
18,1,9,17,1734.84,1733.2504
18,1,9,18,1618.56,1618.6971
18,1,9,19,1614.24,1615.1985
18,1,9,20,1476.0,1475.2026
18,1,9,21,1484.64,1484.442
18,1,9,22,1477.44,1477.58
18,1,9,23,1430.64,1430.49
18,1,10,0,1387.08,1387.5424
